generation,release_date,artist,name,types,supertype,hp,evolvesFrom,evolvesTo,nationalPokedexNumbers,,,,,,,,,,,,,,,,,,,,,,,,,
First,1/9/1999,Ken Sugimori,Alakazam,['Psychic'],Pokémon,80,Kadabra,,[65],,,,,,,,,,,,,,,,,,,,1941,4099,,,,#N/A
First,1/9/1999,Ken Sugimori,Blastoise,['Water'],Pokémon,100,Wartortle,,[9],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Chansey,['Colorless'],Pokémon,120,,['Blissey'],[113],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Mitsuhiro Arita,Charizard,['Fire'],Pokémon,120,Charmeleon,,[6],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Ken Sugimori,Clefairy,['Colorless'],Pokémon,40,,['Clefable'],[35],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Mitsuhiro Arita,Gyarados,['Water'],Pokémon,100,Magikarp,,[130],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Hitmonchan,['Fighting'],Pokémon,70,,,[107],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Ken Sugimori,Machamp,['Fighting'],Pokémon,100,Machoke,,[68],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Keiji Kinebuchi,Magneton,['Lightning'],Pokémon,60,Magnemite,['Magnezone'],[82],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Ken Sugimori,Mewtwo,['Psychic'],Pokémon,60,,,[150],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,1/9/1999,Ken Sugimori,Nidoking,['Grass'],Pokémon,90,Nidorino,,[34],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Ninetales,['Fire'],Pokémon,80,Vulpix,,[38],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Ken Sugimori,Poliwrath,['Water'],Pokémon,90,Poliwhirl,,[62],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Raichu,['Lightning'],Pokémon,80,Pikachu,,[26],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Mitsuhiro Arita,Venusaur,['Grass'],Pokémon,100,Ivysaur,,[3],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Zapdos,['Lightning'],Pokémon,90,,,[145],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Ken Sugimori,Beedrill,['Grass'],Pokémon,80,Kakuna,,[15],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Mitsuhiro Arita,Dragonair,['Colorless'],Pokémon,80,Dratini,['Dragonite'],[148],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Keiji Kinebuchi,Dugtrio,['Fighting'],Pokémon,70,Diglett,,[51],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Ken Sugimori,Electabuzz,['Lightning'],Pokémon,70,,['Electivire'],[125],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Keiji Kinebuchi,Electrode,['Lightning'],Pokémon,80,Voltorb,,[101],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Ken Sugimori,Pidgeotto,['Colorless'],Pokémon,60,Pidgey,['Pidgeot'],[17],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Arcanine,['Fire'],Pokémon,100,Growlithe,,[59],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Mitsuhiro Arita,Charmeleon,['Fire'],Pokémon,80,Charmander,['Charizard'],[5],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Mitsuhiro Arita,Dewgong,['Water'],Pokémon,80,Seel,,[87],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Dratini,['Colorless'],Pokémon,40,,['Dragonair'],[147],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Farfetch'd,['Colorless'],Pokémon,50,,"[""Sirfetch'd""]",[83],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Growlithe,['Fire'],Pokémon,60,,['Arcanine'],[58],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Keiji Kinebuchi,Haunter,['Psychic'],Pokémon,60,Gastly,['Gengar'],[93],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,1/9/1999,Ken Sugimori,Ivysaur,['Grass'],Pokémon,60,Bulbasaur,['Venusaur'],[2],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Jynx,['Psychic'],Pokémon,70,,,[124],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
